mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,0.0,0.9998519662490114,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,0,0,0
idle,0.0,0.0,0.0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,0.0,0.9998519642372768,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,1,1,1
idle,0.0,0.0,0.0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,0.0,0.9998519622255028,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,2,2,2
idle,0.0,0.0,0.0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,0.0,0.9998519602136898,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,3,3,3
idle,0.0,0.0,0.0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,0.0,0.999851958201837,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,4,4,4
idle,0.0,0.0,0.0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,0.0,0.9998519561899454,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,5,5,5
idle,0.0,0.0,0.0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,0.0,0.9998519541780139,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,6,6,6
idle,0.0,0.0,0.0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,0.0,0.9998519521660438,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,7,7,7
char,1.0167240414934307,1.0011219718879678,-290.4052251154441,1012.603377822889,768.0224518412983,309.664610730348,240.24978045716085,-10342.485879156924,0.8572357029706847,0.8698665462936969,0.9299081296310314,6.016724041493431,0,0,0,0,0,0,1.0,1.0,0.7263153743751305,1.0344247706932777,1,Day_1,8,8,8
char,1.012582014161013,1.0012415841474642,-289.23991326296584,1012.6106713113309,767.9754645961142,309.66345926927494,240.23896014684325,-10383.727348136137,0.8572293785554326,0.8699220336484266,0.9299519009825301,7.029306055654444,0,0,0,0,0,0,1.0,1.0,0.5823685130447176,0.7354588465647716,1,Day_1,9,9,9
char,1.0127194607223382,1.001370133208106,-289.3326319907425,1012.6071395187626,767.9284820496546,309.662307923348,240.2302233658153,-10386.164810592725,0.857114058732445,0.8699197328682339,0.9299516688862627,8.042025516376782,0,0,0,0,0,0,1.0,1.0,0.5997317598568586,0.7323506353710556,1,Day_1,10,10,10
char,1.0096309044792473,1.001486113550645,-288.4784464440712,1012.5962427775022,767.8815042014496,309.66115669255566,240.2221981849373,-10418.811617506048,0.8570735015315443,0.869951778573031,0.9299742401035793,9.051656420856029,0,0,0,0,0,0,1.0,1.0,0.49607566057963126,0.5093485046595312,1,Day_1,11,11,11
char,0.9483435791439714,1.0009856947971674,-270.6473601992109,1012.5773121951535,767.8345310510294,309.6600055768864,240.21001097609502,-9955.50332346218,0.8580439831126323,0.8699995959984048,0.9299978413117687,10.0,0,0,0,0,0,0,1.0,0.9477413345201492,0.055512485460718075,-0.06665388467823163,1,Day_1,12,12,12
idle,0.0,0.0,0.0,1012.505869463934,767.7875625979243,309.65885457632874,240.21580497499744,0.0,0.9998546389189696,,,10.0,0,0,0,0,0,0,,,,,1,Day_1,13,13,13
idle,0.0,0.0,0.0,1012.4344338769876,767.7405988416646,309.6577036908711,240.22159839449995,0.0,0.9998546369762689,,,10.0,0,0,0,0,0,0,,,,,1,Day_1,14,14,14
dis,1.0975759755945307,1.057316822912265,223.87131372154872,1012.3630054335998,754.5048629188798,310.9400840468775,240.2273912346605,14487.155976122585,0.7929071669398239,0.8550014404146173,0.9254914328578455,8.90242402440547,0,0,0,0,0,0,1.0,1.0,12.829286719932265,1.3332327200462757,1,Day_1,15,15,15
dis,1.1743991681449797,1.0673294889053098,235.54963978610473,1012.2915841330564,753.6978946633734,311.3342323945463,240.23318349553705,21371.88285058366,0.7762685879513993,0.8392047143706513,0.9213132696598492,7.72802485626049,0,0,0,0,0,0,1.0,1.0,17.844738500909397,5.827635017682454,1,Day_1,16,16,16
dis,1.2020860687811923,1.0726112416289704,238.6617559812566,1012.2201699746431,753.199790947458,311.57838777915464,240.2389751771875,27235.537830394922,0.76716712141654,0.8310164184335754,0.918613882326999,6.525938787479298,0,0,0,0,0,0,1.0,1.0,20.027970031173716,7.48904001576809,1,Day_1,17,17,17
dis,1.2426156424383208,1.0828174911260309,241.78012415906554,1012.1487629576457,752.6462496164283,311.85517928539554,240.24476627966982,53775.64720490064,0.7494773819907191,0.815652205399441,0.9134196011630604,5.283323145040977,0,0,0,0,0,0,1.0,1.0,23.700528813233703,9.855805496090563,1,Day_1,18,18,18
dis,1.1979145100202884,1.071665386920428,238.16307505074747,1012.0773630813499,752.548972157088,311.8808385114265,240.25055680304186,26077.656376158593,0.7688804452268658,0.8323599201717521,0.9190847776189693,4.085408635020689,0,0,0,0,0,0,1.0,1.0,19.682605408063857,7.23269389910185,1,Day_1,19,19,19
dis,1.1344332225723597,1.0612215037167587,229.78311052050717,1012.0059703450418,752.6779941091872,311.7825001808012,240.25634674736156,16915.77320768639,0.7867799282529561,0.8485628167075148,0.9240865027121261,2.950975412448329,0,0,0,0,0,0,1.0,1.0,15.054082462489603,3.446685251697655,1,Day_1,20,20,20
dis,1.068215396248337,1.0543229493495985,218.31440578719128,1011.9345847480073,752.9220654112421,311.63766940418066,240.26213611268685,13083.20683804842,0.7973785040009747,0.8589089157328301,0.926044886123499,1.882760016199992,0,0,0,0,0,0,1.0,1.0,11.217186060181493,-0.2927057278455969,1,Day_1,21,21,21
idle,0.0,0.0,0.0,1011.8632062895325,752.876588204701,311.6363206372402,240.26792489907558,0.0,0.99984879848583,,,1.882760016199992,0,0,0,0,0,0,,,,,1,Day_1,22,22,22
idle,0.0,0.0,0.0,1011.7918349689036,752.8311155458805,311.63497200517645,240.2737131065857,0.0,0.9998487963954603,,,1.882760016199992,0,0,0,0,0,0,,,,,1,Day_1,23,23,23
